name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
Briess CBW Pale Ale Malt DME 1 lb,888690117921,7.49,Homebrew,,product,product,4
Briess CBW Pale Ale Malt DME 3 lb,888690217928,16.99,Homebrew,,product,product,1
Briess CBW Pilsen DME 1 lb,888690117938,7.49,Homebrew,,product,product,4
Briess CBW Pilsen DME 3 lb,8065655,16.99,Homebrew,,product,product,5
Briess CBW Pilsen Light LME 3.3 lb,685826052725,14.99,Homebrew,,product,product,3
Briess CBW Sparkling Amber DME 3 lb,888690217973,16.99,Homebrew,,product,product,0
Briess CBW Sparkling Amber DME 1 lb,8 88690 11797 6,7.49,Homebrew,,product,product,5
Briess CBW Traditional Dark DME 1 lb,888690117945,7.49,Homebrew,,product,product,4
Briess CBW Traditional Dark DME 3 lb,888690217942,16.99,Homebrew,,product,product,3
Briess CBW Traditional Dark LME 3.3 lb,685826052763,14.99,Homebrew,,product,product,3
BRIESS CBW® Sparkling Amber LME 3.3 lb,685826052787,14.99,Homebrew,,product,product,3
Briess DME - Bavarian Wheat 1 lb,9274901,7.49,Homebrew,,product,product,2
Briess DME - Bavarian Wheat 3 lb,E846124,16.99,Homebrew,,product,product,1
Briess DME - Golden Light 1 lb,G898383,7.49,Homebrew,,product,product,0
Briess DME - Golden Light 3 lb,M994812,16.99,Homebrew,,product,product,1
Briess DME - Pilsen Light 3 lb,9722711,16.99,Homebrew,,product,product,1
Briess DME Pale Ale 1 lb,356698Q,7.49,Homebrew,,product,product,0
Briess DME Pale Ale 3 lb,481917Z,16.99,Homebrew,,product,product,1
Briess Maltoferm 10001 Organic Dry Malt Extract 1 lb,888690117990,6.99,Homebrew,,product,product,5
Briessweet White Grain Sorghum Gluten -Free Syrup 3.3 lb,6671318,16.99,Homebrew,,product,product,1
"Bru-1 Hop Pellets, 1 oz bag",58625,2.99,Homebrew,,product,product,6
Brutzyme 1 oz,843200140363,24.99,Homebrew,,product,product,2
"BTF Iodophor, 4 oz.",V775316,4.99,Homebrew,,product,product,1
Burton Water Salts 1/3 oz,888690161023,1.99,Homebrew,,product,product,2
Butterscotch Brewers Best Natural flavoring 4oz,460943E,5.99,Homebrew,,product,product,0
Cabernet Sauvignon Adhesive Wine Bottle Labels,888690043589,3.99,Homebrew,,product,product,1
"Cacao Nibs, 4 oz.",888690024311,7.99,Homebrew,,product,product,2
Calcium Carbonate 1lb,888690161603,4.99,Homebrew,,product,product,4
Calcium Carbonate 2oz,888690061606,1.99,Homebrew,,product,product,4
Calcium Chloride 1lb,888690261037,5.99,Homebrew,,product,product,3
Calcium Chloride 2 oz,888690161030,2.0,Homebrew,,product,product,2
California Moscato Classic Wine Kit Makes 6 Gallons by Winexpert,G457657,94.99,Homebrew,,product,product,1
Campden Tablets 100 Ct,888690060036,3.99,Homebrew,,product,product,4
"Campden Tablets, 1 lb",888690160040,15.99,Homebrew,,product,product,0
"Captain Jack’s Fruit Tree Insect & Disease Control, Qt. Concentrate",037321020035,47.8,Homebrew,,product,product,3
"Captain Jack's Neem Max, 16 oz conc",037321000266,26.99,Homebrew,,product,product,0
CaraBrown Malt,V026542,0.2,Homebrew,,product,product,50
Carafa III Malt,3015,0.22,Homebrew,,product,product,80
CaraFoam malt,384102C,0.2,Homebrew,,product,product,96
CaraPils Malt,3007,0.2,Homebrew,,product,product,0
CaraRye Malt,K655038,0.2,Homebrew,,product,product,50
Carba Cap,799975490113,17.99,Homebrew,,product,product,2
Carbonation Tablets 54ea,888690019874,5.99,Homebrew,,product,product,5
Carboy Brush,825392000908,6.99,Homebrew,,product,product,1
"Carboy Brush, Plastic (Red)",Q583720,7.99,Homebrew,,product,product,2
Carboy Cap 5 gal,825392012000,3.99,Homebrew,,product,product,0
Cardamon Seed 1oz.,888690024090,7.25,Homebrew,,product,product,2
Cashmere Whole Cone Hops - 8 oz Bag,2023075,16.99,Homebrew,,product,product,0
Cellar Science Citric Acid (2 oz),Y955878,2.99,Homebrew,,product,product,2
Cellar Science Malic Acid (2 oz),843200100916,2.99,Homebrew,,product,product,2
